코드,품명,견적가격,물가자료,물가정보,품목순위
47301108214,일반배관용 STS강관 이음쇠,"15,700.00","19,630.00","20,290.00",11/32
47301108306,일반배관용 STS강관 이음쇠,"6,980.00","8,725.00","8,725.00",15/34
47301108314,일반배관용 STS강관 이음쇠,"12,880.00","16,100.00","16,100.00",24/29
47301108457,일반배관용 STS강관 이음쇠,"4,410.00","5,512.00","5,700.00",07월 20일
47301108458,일반배관용 STS강관 이음쇠,"5,260.00","6,591.00","6,810.00",17/26
47301108703,일반배관용 STS강관 이음쇠,"3,090.00","4,410.00","4,410.00",26/27
47301108705,일반배관용 STS강관 이음쇠,"5,080.00","8,000.00","8,000.00",32/39
47301108706,일반배관용 STS강관 이음쇠,"5,940.00","11,150.00","11,150.00",15/37
47301108707,일반배관용 STS강관 이음쇠,"6,940.00","15,500.00","15,500.00",22/22
47301108708,일반배관용 STS강관 이음쇠,"13,630.00","21,850.00","21,850.00",37/39
47301108743,일반배관용 STS강관 이음쇠,"4,260.00","11,565.00","11,465.00",1/36
47301108744,일반배관용 STS강관 이음쇠,"6,390.00","16,165.00","15,865.00",23/25
47301108758,일반배관용 STS강관 이음쇠,"1,770.00","1,870.00","2,120.00",07월 23일
47301108760,일반배관용 STS강관 이음쇠,"3,420.00","2,920.00","3,910.00",31/38
47301108761,일반배관용 STS강관 이음쇠,"4,930.00","4,930.00","5,940.00",16/23
47301108762,일반배관용 STS강관 이음쇠,"7,130.00","7,330.00","7,760.00",10/34
47301108763,일반배관용 STS강관 이음쇠,"9,370.00","9,470.00","10,920.00",22/25
47301108766,일반배관용 STS강관 이음쇠,"1,360.00","2,120.00","2,120.00",12월 31일
47301108867,일반배관용 STS강관 이음쇠,"4,600.00","5,750.00","5,750.00",2/39
47301108868,일반배관용 STS강관 이음쇠,"5,860.00","7,329.00","7,329.00",3/32
47301127002,용접식 관이음쇠,"2,966.00","4,120.00","4,230.00",5/38
47301127003,용접식 관이음쇠,"3,974.00","5,520.00","5,680.00",18/36
47301127004,용접식 관이음쇠,"7,092.00","9,850.00","10,130.00",05월 24일
47301127005,용접식 관이음쇠,"11,599.00","16,110.00","16,560.00",6/31
47301127006,용접식 관이음쇠,"16,927.00","23,510.00","24,170.00",15/20
47301127007,용접식 관이음쇠,"34,358.00","47,720.00","49,080.00",28/28
47301127032,용접식 관이음쇠,"2,016.00","2,800.00","2,960.00",20/22
47301127033,용접식 관이음쇠,"2,671.00","3,710.00","3,850.00",11/33
47301127035,용접식 관이음쇠,"7,862.00","10,920.00","11,370.00",02월 23일
47301127216,용접식 관이음쇠,"5,004.00","6,950.00","7,140.00",20/27
47301127217,용접식 관이음쇠,"6,019.00","8,360.00","8,590.00",09월 23일
47301127218,용접식 관이음쇠,"10,217.00","14,190.00","14,590.00",3/32
47301127219,용접식 관이음쇠,"15,322.00","21,280.00","21,880.00",13/37
47301127221,용접식 관이음쇠,"38,462.00","53,420.00","54,940.00",19/22
47301127241,용접식 관이음쇠,"3,629.00","5,040.00","5,470.00",03월 29일
47301127242,용접식 관이음쇠,"4,284.00","5,950.00","6,330.00",16/25
47301127243,용접식 관이음쇠,"7,056.00","10,150.00","10,080.00",7/36
47301127244,용접식 관이음쇠,"11,038.00","15,330.00","15,980.00",34/35
